Postcode,Data Centre Name,Data Centre Address,Longitude,Latitude,ref_id
AB116BX,IFB Union Street,,-2.0981,57.1437,1
AB123LE,IFB Union Street,,-2.0981,57.1437,2
AB123LW,AMOR DATA CENTRE,,-2.0981,57.1437,3
AB156DF,Brightsolid data centre,,-2.1663,57.1378,4
AB156DF,Brightsolid Aberdeen,,-2.1663,57.1378,5
AB158PJ,PRIME FOUR BUSINESS PARK,,-2.1663,57.1378,6
AB166LA,Brightsolid data centre,,-2.1567,57.16,7
AB217DZ,CNSFTC DATA CENTRE,,-2.2037,57.2111,8
AB238EF,Unknown,Unknown,-2.0789625,57.23273125,9
AL109TW,Computacentre,,-0.2242,51.7634,10
